outfit "Algarral Battle Gun" #gogase
	category "Guns"
	cost 640000
	thumbnail "outfit/particle cannon"
	"mass" 10
	"outfit space" -10
	"weapon capacity" -10
	"gun ports" -1
	weapon
		sprite "projectile/gogase"
		sound "particle"
		"hit effect" "ionic afterburner"
		"inaccuracy" .02
		"velocity" 35
		"lifetime" 15
		"reload" 17
		"firing energy" 45
		"firing force" 8
		"firing heat" 70
		"hit force" 40
		"cluster"
		"shield damage" 30
		"hull damage" 5
	description "Algarral is a weapon geared towards bringing down enemy's shield."
	
outfit "Orthall Assault Cannon" #gosa
	category "Guns"
	cost 780000
	thumbnail "outfit/particle cannon"
	"mass" 10
	"outfit space" -10
	"weapon capacity" -10
	"gun ports" -1
	weapon
		sprite "projectile/gogase"
		sound "proton"
		"hit effect" "ionic afterburner"
		"fire effect" "ion impact"
		"inaccuracy" .02
		"velocity" 35
		"lifetime" 25
		"reload" 60
		"firing energy" 110
		"firing force" 18
		"firing heat" 160
		"hit force" 80
		"cluster"
		"shield damage" 110
		"hull damage" 300
		"piercing" .1
	description "
	
outfit "Qoro(E) Anti-Missile"
	category "Turrets"
	cost 805000
	thumbnail "outfit/warder"
	"mass" 20
	"outfit space" -20
	"weapon capacity" -20
	"turret mounts" -1
	weapon
		"hardpoint sprite" "hardpoint/anti-missile"
		"hardpoint offset" 4.
		"fire effect" "plasma explosion"
		"anti-missile" 7
		"velocity" 350
		"lifetime" 6
		"reload" 10
		"burst reload" 4
		"burst count" 5
		"firing energy" 24
		"firing heat" 10
		"cluster"
	description ""
	
outfit "Gotam Ion Thruster"
	category "Engines"
	"cost" 80000
	thumbnail "outfit/small ion thruster"
	"mass" 40
	"outfit space" -40
	"engine capacity" -40
	"thrust" 15
	"thrusting energy" 1.6
	"thrusting heat" 1.7
	"flare sprite" "effect/ion flare/small"
		"frame rate" 1
	"flare sound" "ion small"
	"turn" 320
	"turning energy" 1
	"turning heat" 1.3
	
outfit "Gowaki Ion Thruster"
	category "Engines"
	"cost" 140000
	thumbnail "outfit/medium ion thruster"
	"mass" 70
	"outfit space" -70
	"engine capacity" -70
	"thrust" 24
	"thrusting energy" 2.5
	"thrusting heat" 2.6
	"flare sprite" "effect/ion flare/medium"
		"frame rate" 1
	"flare sound" "ion medium"
	"turn" 660
	"turning energy" 2
	"turning heat" 2.6
	

	
outfit "Nurbolo Shield Generator"
	category "Systems"
	cost 2000000
	thumbnail "outfit/unknown"
	"mass" 29
	"outfit space" -29
	"shield generation" 6.7
	"shield energy" 7
	
outfit "Norklo'Ar Shield Generator"
	category "Systems"
	cost 150000
	thumbnail "outfit/unknown"
	"mass" 9
	"outfit space" -9
	"shield generation" 4.7
	"shield energy" 5
	
outfit "Ornai Shield Generator"
	category "Systems"
	cost 100000
	thumbnail "outfit/unknown"
	"mass" 6
	"outfit space" -6
	"shield generation" 2.5
	"shield energy" 3
	
outfit "Gol Cell"
	category "Power"
	cost 135000
	thumbnail "outfit/tiny fuel cell"
	"mass" 9
	"outfit space" -9
	"energy generation" 27.6
	"energy capacity" 1200
	
outfit "Gok Cell"
	category "Power"
	cost 313000
	thumbnail "outfit/small fuel cell"
	"mass" 14
	"outfit space" -14
	"energy generation" 46.5
	"energy capacity" 2200
	
outfit "Goa Cell"
	category "Power"
	cost 840000
	thumbnail "outfit/big fuel cell"
	"mass" 49
	"outfit space" -49
	"energy generation" 154.7
	"energy capacity" 5500
	
outfit "Armour Plating"
	category "Special"
	cost 10000
	thumbnail "outfit/armour plate"
	"mass" 2
	"hull" 150
	
outfit "Energized Armour Plating"
	category "Special"
	cost 21000
	thumbnail "outfit/energy armour plate"
	"mass" 5
	"outfit space" -3
	"hull" 100
	"shield" 100
	
outfit "Igornuit"
    category "Hand to Hand"        
    cost 41000        
    thumbnail "outfit/longsword"    	
    "capture attack" 1.2
    "capture defense" 2   
    unplunderable 1
    description "
