

outfit "Asenil Shield Generator" #Wasen
	category "Systems"
	cost 5000000
	thumbnail "outfit/wallagi sheild"
	"mass" 11
	"outfit space" -11
	"shield generation" 1
	"shield energy" 1
	
outfit "Filkei Shield Generator"
	category "Systems"
	cost 11000000
	thumbnail "outfit/wallagi sheild"
	"mass" 24
	"outfit space" -24
	"shield generation" 2.1
	"shield energy" 2
	
outfit "Lestur Shield Generator"
	category "Systems"
	cost 35000000
	thumbnail "outfit/wallagi sheild"
	"mass" 56
	"outfit space" -56
	"shield generation" 4.6
	"shield energy" 4.3
	
outfit "Sestar Shield Generator"
	category "Systems"
	cost 50000000
	thumbnail "outfit/wallagi sheild"
	"mass" 104
	"outfit space" -104
	"shield generation" 6.3
	"shield energy" 5.7
	
outfit "Tensel Shield Generator"
	category "Systems"
	cost 57000000
	thumbnail "outfit/wallagi sheild"
	"mass" 130
	"outfit space" -130
	"shield generation" 11.5
	"shield energy" 10.4
	
outfit "Yalgos Shield Generator" #Malgos
	category "Systems"
	cost 64000000
	thumbnail "outfit/wallagi sheild"
	"mass" 220
	"outfit space" -220
	"shield generation" 21.2
	"shield energy" 20
	
outfit "C10-W Hinlar Core"
	category "Power"
	cost 100000
	thumbnail "outfit/unknown"
	mass 9
	"outfit space" -10
	"energy generation" .6
	"heat generation" .3
	"energy capacity" 1000
	
outfit "C40-W Milar Core"
	category "Power"
	cost 1000000
	thumbnail "outfit/unknown"
	"mass" 72
	"outfit space" -76
	"energy generation" 23
	"heat generation" 9
	"energy capacity" 7400
	
outfit "C60-W Falmin Core"
	category "Power"
	cost 1000000
	thumbnail "outfit/unknown"
	"mass" 146
	"outfit space" -152
	"energy generation" 45
	"heat generation" 12
	"energy capacity" 15000
	
outfit "C80-W Mallar Core"
	category "Power"
	cost 1000000
	thumbnail "outfit/unknown"
	"mass" 202
	"outfit space" -223
	"energy generation" 51
	"heat generation" 14
	"energy capacity" 22000
	
outfit "Kal-1 Engines"
	category "Engines"
	"cost" 3500000
	thumbnail "outfit/unknown"
	"mass" 20
	"outfit space" -20
	"engine capacity" -20
	"thrust" 24
	"thrusting energy" 4.4
	"thrusting heat" 2.9
	"turn" 650
	"turning energy" .5
	"turning heat" .5
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/tiny"
	
outfit "Kal-4 Engines"
	category "Engines"
	"cost" 3500000
	thumbnail "outfit/unknown"
	"mass" 50
	"outfit space" -50
	"engine capacity" -50
	"thrust" 51
	"thrusting energy" 6
	"thrusting heat" 4.2
	"turn" 980
	"turning energy" .7
	"turning heat" .6
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/large"
	
outfit "Kal-8 Engines"
	category "Engines"
	"cost" 3500000
	thumbnail "outfit/unknown"
	"mass" 80
	"outfit space" -80
	"engine capacity" -80
	"thrust" 87
	"thrusting energy" 1.3
	"thrusting heat" .8
	"turn" 1420
	"turning energy" 10
	"turning heat" 7
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/large"
	
outfit "Kal-10 Engines"
	category "Engines"
	"cost" 3500000
	thumbnail "outfit/unknown"
	"mass" 140
	"outfit space" -120
	"engine capacity" -120
	"thrust" 178
	"thrusting energy" 21
	"thrusting heat" 7
	"turn" 2315
	"turning energy" 1.5
	"turning heat" .9
	"hyperdrive" 1
	"jump drive" 1
	"jump speed" 1.2
	"flare sprite" "effect/atomic flare/huge"
	
outfit "Ulyukar Heat Control"
	category "Systems"
	cost 600000
	thumbnail "outfit/unknown"
	mass 15
	"outfit space" -15
	"cooling" 12
	"active cooling" 42
	"cooling energy" 3
	
#Anti- missile
	
outfit "Cilhr Anti-missile" #sach #Primary AM
	category "Turrets"
	cost 800000
	thumbnail "outfit/heavy anti-missile"
	"mass" 12
	"outfit space" -12
	"weapon capacity" -12
	"turret mounts" -1
	weapon
		"fire effect" "particle impact"
		sound "energy1"
		"anti-missile" 6
		"turret turn" 14
		"velocity" 200
		"lifetime" 1
		"reload" 3
		"firing energy" 1
		"firing heat" 1
	description ""
	
outfit "Eilgur Anti-missile" #For later use
	category "Turrets"
	cost 800000
	thumbnail "outfit/heavy anti-missile"
